repository	path	blob_sha	name	events	job_count	parse_result
meta	.github/workflows/ci.yml	ee7d5dee4b7aafb2601a25fbbe5d789ab4627687	META CI	pull_request,merge_group,push,workflow_dispatch	1	PASS
meta	.github/workflows/terminal-branch-lifecycle.yml	c10bf3b2abc239015cd3e132e6370ac354031207	Terminal Branch Lifecycle	pull_request,pull_request_target,push,schedule,workflow_dispatch	3	PASS
game	.github/workflows/agent-governance.yml	10a4f282b7ee70ac2d5df81002e226ad598d997c	Agent governance	pull_request,push,workflow_dispatch	1	PASS
game	.github/workflows/architecture-semantic-audit.yml	44f79456e85e682a4b710b51394330302a97526f	Architecture semantic audit	pull_request	1	PASS
game	.github/workflows/codeql.yml	0dfff11a789ea1a2b49b518311cd8064aa4d7a7a	CodeQL	push,schedule,workflow_dispatch	1	PASS
game	.github/workflows/game-atlas-animated-appearances.yml	57e8d3c9e38303c2a3bb69705a2a92b8cad360cc	Game Atlas animated appearances	pull_request,workflow_dispatch	1	PASS
game	.github/workflows/game-atlas-creature-gameplay-profiles.yml	a83c34791fd4b53026f15e4e2cbc2f91beb0efc9	Game Atlas creature gameplay profiles	pull_request,workflow_dispatch	1	PASS
game	.github/workflows/game-atlas-profile-spike.yml	710828c73107d14bf610d97fea3b76a99c3e24e0	Game Atlas Physical Profile Spike	pull_request	1	PASS
game	.github/workflows/game-atlas-semantic-search.yml	31dba28c2b4f7e3bbdb1bf8822cc3cc0a3550fd0	Game Atlas semantic search	pull_request,push	1	PASS
game	.github/workflows/game-atlas-static-creatures.yml	57be9d0228d642395354b49fc1e0f3222b43435e	Game Atlas static creatures	pull_request,workflow_dispatch	1	PASS
game	.github/workflows/game-atlas-thais-fixture.yml	37a9a62dbc78a474558e993749a4048d8f92e43c	Game Atlas Thais Z7 fixture	pull_request	1	PASS
game	.github/workflows/merge-authority-audit.yml	fdfb29c752290c6f47bc4cf80d0a79d7a666a323	Merge authority audit	pull_request_target	1	PASS
game	.github/workflows/merge-gate.yml	71854b5b1811b5b70058197e8849a8f03c9670b6	Merge gate	pull_request	11	PASS
game	.github/workflows/merge-group-gate.yml	539a726b7d39cabe785892f70ea30d1944189d91	Game Merge Queue gate	merge_group	8	PASS
game	.github/workflows/repository-configuration.yml	e3b752f5b4712d07de13e88b909f99e40b3a99b6	Repository configuration	push,workflow_dispatch	1	PASS
game	.github/workflows/rust.yml	dc2ea01a08d971735b382082caeae330349183ca	Rust workspace	push,workflow_dispatch	6	PASS
game	.github/workflows/synology-game-runner-acceptance.yml	a14a130090614ec688914079a069f0edc8a267e3	Synology Game Runner Acceptance	push,workflow_dispatch	1	PASS
game	.github/workflows/terminal-branch-lifecycle.yml	149a06a351145749f8076f70ed8aaf39ff98543c	Terminal Branch Lifecycle	pull_request,pull_request_target,push,schedule,workflow_dispatch	3	PASS
game	.github/workflows/tibia-reference-tools.yml	e3cc54b5b7ceb593d03fe91827d3b2bb512d0331	Tibia Reference Tooling	pull_request,workflow_dispatch	1	PASS
platform	.github/workflows/acceptance-soak.yml	a075c8ddd99bf0a30547bbff65110f10a3a5eb33	Acceptance E2E Public Soak	schedule,workflow_dispatch	1	PASS
platform	.github/workflows/acceptance-stability.yml	6c1fa9f2fb4edea9415e3cbd9b5e717a04bcf43d	Acceptance E2E Stability Repeat	schedule,workflow_dispatch	1	PASS
platform	.github/workflows/acceptance-validation.yml	75cd3865acb6d161091aebd489f070cff7aeede4	Acceptance E2E and Visual UX	pull_request,push,workflow_dispatch,workflow_call	1	PASS
platform	.github/workflows/agent-governance.yml	4001daffe49b9432c88c64a1bc8ea036d6b19e7e	Agent Governance	pull_request,push,workflow_dispatch	1	PASS
platform	.github/workflows/announcements-acceptance.yml	399edcf4bbbbdf69d36f28d749cf32136848c4d7	Announcements Acceptance	pull_request,push,workflow_dispatch	1	PASS
platform	.github/workflows/branch-lifecycle.yml	1f79d5cbe4e4a4e919422b83667e8c297f267e10	Branch Lifecycle	pull_request,push,workflow_dispatch	3	PASS
platform	.github/workflows/build-synology-staging-images.yml	ba34e84b99785f34eaee57d5335e009703b67850	Build Synology Staging Images	pull_request,push,workflow_dispatch	3	PASS
platform	.github/workflows/character-bazaar-staging-control.yml	96aa133abfea547c2d6734d9967195dfa646fb9f	Character Bazaar Staging Control	push,workflow_dispatch	1	PASS
platform	.github/workflows/character-bazaar-staging-validation.yml	528b5cb71a83660b3f32635e3ec0a9b23aabe7a7	Character Bazaar Staging Validation	pull_request,push,workflow_dispatch	1	PASS
platform	.github/workflows/ci.yml	2943cfc2220a6ddd72c99336500f2ef339d23b84	CI	push,pull_request,merge_group	5	PASS
platform	.github/workflows/cloudflare-oteryn-edge-audit.yml	9c925918328f4f764dd5b95bec705cb4da77cb51	Cloudflare Oteryn Edge Audit	pull_request,pull_request_target	2	PASS
platform	.github/workflows/cloudflare-oteryn-endpoint-main-operation.yml	db453f2aa2e741d0227790d8e411a5fdf87fee53	Cloudflare Oteryn Endpoint Main Operation	pull_request,push	2	PASS
